,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,weight_class
596,Norifumi,Yamamoto,Kid,64,135.0,66,Southpaw,18.0,6.0,0.0,featherweight
597,Hiroko,Yamanaka,Cat's Eye,71,135.0,71,Unknown,13.0,3.0,0.0,featherweight
598,Goiti,Yamauchi,,70,145.0,71,Unknown,21.0,3.0,0.0,lightweight
599,Takeshi,Yamazaki,,68,139.0,71,Southpaw,15.0,12.0,3.0,featherweight
600,Yan,Xiaonan,,65,115.0,63,Orthodox,16.0,3.0,0.0,flyweight
601,Petr,Yan,No Mercy,67,135.0,67,Switch,16.0,5.0,0.0,featherweight
602,Yan,Qihui,Queen Kong,63,125.0,62,Orthodox,11.0,4.0,0.0,bantamweight
603,Adam,Yandiev,Boroda,69,185.0,74,Orthodox,9.0,1.0,0.0,light heavyweight
604,Adrian,Yanez,,67,135.0,70,Orthodox,16.0,3.0,0.0,featherweight
605,Dongi,Yang,The Ox,70,185.0,73,Southpaw,13.0,3.0,0.0,light heavyweight
606,Jianping,Yang,,67,145.0,71,Orthodox,11.0,4.0,1.0,lightweight
607,Masutatsu,Yano,,69,198.0,71,Orthodox,2.0,4.0,1.0,light heavyweight
608,Emmanuel,Yarborough,,80,770.0,71,Open Stance,1.0,2.0,0.0,super heavyweight
609,Cale,Yarbrough,,73,185.0,71,Orthodox,8.0,3.0,0.0,light heavyweight
610,Tadao,Yasuda,,76,310.0,71,Orthodox,2.0,4.0,0.0,super heavyweight
611,Yoshiaki,Yatsu,,73,165.0,71,Orthodox,0.0,2.0,0.0,welterweight
612,Chris,Yee,,69,185.0,71,Unknown,4.0,6.0,0.0,light heavyweight
614,Luke,Zachrich,,74,185.0,74,Orthodox,14.0,4.0,0.0,light heavyweight
615,Anton,Zafir,The Professor,71,170.0,71,Orthodox,7.0,3.0,0.0,middleweight
616,Aiemann,Zahabi,,68,135.0,68,Orthodox,9.0,2.0,0.0,featherweight
617,Joao,Zaiden,,70,205.0,71,Unknown,10.0,3.0,0.0,heavyweight
618,Youssef,Zalal,The Moroccan Devil,70,135.0,72,Switch,10.0,5.0,1.0,featherweight
619,Elizeu,Zaleski dos Santos,Capoeira,71,170.0,73,Orthodox,23.0,7.0,0.0,middleweight
620,Zach,Zane,The Hurricane,67,145.0,69,Southpaw,10.0,7.0,0.0,lightweight
621,Roger,Zapata,Viva,71,170.0,71,Southpaw,4.0,2.0,0.0,middleweight
622,Marius,Zaromskis,The Whitemare,69,170.0,71,Orthodox,20.0,9.0,0.0,middleweight
623,David,Zawada,Sagat,72,170.0,75,Orthodox,17.0,7.0,0.0,middleweight
624,Joao,Zeferino,The Brazilian Samurai,71,170.0,71,Orthodox,21.0,9.0,0.0,middleweight
625,Daniel,Zellhuber,Golden Boy,73,155.0,77,Switch,12.0,1.0,0.0,welterweight
626,Craig,Zellner,Big Z,74,205.0,71,Orthodox,4.0,3.0,0.0,heavyweight
627,Roman,Zentsov,The Russian Hammer,73,230.0,71,Orthodox,18.0,12.0,0.0,heavyweight
628,Carlos,Zevallos,,72,205.0,71,Orthodox,3.0,4.0,0.0,heavyweight
629,Zhang,Tiequan,The Wolf,68,155.0,69,Orthodox,15.0,4.0,0.0,welterweight
630,Zhang,Lipeng,The Warrior,71,155.0,71,Southpaw,23.0,9.0,1.0,welterweight
631,Zhang,Weili,Magnum,64,115.0,63,Switch,23.0,3.0,0.0,flyweight
632,Zhang,Mingyang,Mountain Tiger,74,205.0,75,Orthodox,16.0,6.0,0.0,heavyweight
633,Daermisi,Zhawupasi,,70,135.0,71,Unknown,6.0,0.0,0.0,featherweight
634,Yao,Zhikui,The Conqueror,65,125.0,64,Orthodox,2.0,4.0,0.0,bantamweight
635,Zhalgas,Zhumagulov,,64,125.0,66,Switch,14.0,8.0,0.0,bantamweight
636,Fares,Ziam,Smile Killer,73,155.0,75,Orthodox,13.0,4.0,0.0,welterweight
637,Mike,Zichelle,,70,205.0,71,Unknown,8.0,4.0,0.0,heavyweight
638,James,Zikic,The Messenger,74,205.0,71,Orthodox,21.0,10.0,2.0,heavyweight
